algorithm,primal_lb,gap_pct,instance,status,time_elapsed,rnd_seed,num_items,num_classes,optimal
compact,1001293.0,9.17453905642138e-05,tgqljq_600_20,feasible,1.184431076049805,tgqljq,600,20,True
compact,1000019.0,0.1623632255009948,awfngg_1200_20,feasible,3600.0006380081177,awfngg,1200,20,False
mckp,972646.0,0.0,tztxnl_1000_20,feasible,49.019143745,tztxnl,1000,20,True
compact,1004222.0,0.0059566863108233,tenfqf_800_100,feasible,3600.0005559921265,tenfqf,800,100,False
mckp,1002723.0,0.0,bifiul_400_20,feasible,68.272685994,bifiul,400,20,True
compact,1010239.0,9.898637947418437e-05,bqxhei_1000_100,feasible,1.531491994857788,bqxhei,1000,100,True
compact,970751.0,0.0,xsxoef_400_20,feasible,0.1844298839569091,xsxoef,400,20,True
mckp,1003104.0,0.0,pxzpft_400_100,feasible,94.888744242,pxzpft,400,100,True
compact,511585.0,0.0,hgvlor_800_20,feasible,0.0050680637359619,hgvlor,800,20,True
mckp,997292.0,0.0,zicnvb_1200_20,feasible,50.327257427,zicnvb,1200,20,True
compact,1003944.0,0.0,vpgdkz_800_100,feasible,1.9041359424591064,vpgdkz,800,100,True
mckp,503660.0,0.0,evkifm_400_20,feasible,69.00956534000001,evkifm,400,20,True
mckp,976468.0,0.0,cemctw_800_100,feasible,282.103750164,cemctw,800,100,True
compact,1010636.0,9.89474954904679e-05,objmzg_600_100,feasible,0.2760589122772217,objmzg,600,100,True
compact,1006098.0,9.939379723069002e-05,goococ_1200_100,feasible,0.3568739891052246,goococ,1200,100,True
mckp,970712.0,0.0,vcunin_1000_20,feasible,46.254287668,vcunin,1000,20,True
mckp,501800.0,0.0,ulyxaz_600_20,feasible,62.425653621,ulyxaz,600,20,True
compact,999427.0,0.1943541263115175,pzsttz_800_20,feasible,3600.0006790161133,pzsttz,800,20,False
mckp,503443.0,0.0,owyibx_1000_20,feasible,40.336541327,owyibx,1000,20,True
compact,1003187.0,8.458414305872436e-05,pkowig_1000_20,feasible,0.2063150405883789,pkowig,1000,20,True
compact,1002039.0,0.1381817594581589,fgepsn_1000_100,feasible,3600.0007519721985,fgepsn,1000,100,False
compact,503615.0,0.0,alednf_1000_20,feasible,0.0069470405578613,alednf,1000,20,True
compact,1003991.0,9.98928796817942e-05,ltbyky_600_20,feasible,218.37001299858093,ltbyky,600,20,True
compact,985723.0,2.367476293633175,ejoylq_1200_100,feasible,3600.001056909561,ejoylq,1200,100,False
mckp,982501.0,0.0,gozmth_1200_100,feasible,349.858437067,gozmth,1200,100,True
mckp,503142.0,0.0,scauyx_600_20,feasible,75.316883706,scauyx,600,20,True
compact,1002910.0,9.990149425060502e-05,htpapa_600_20,feasible,40.02075409889221,htpapa,600,20,True
mckp,1013042.0,0.0,oawfyb_1200_100,feasible,204.262994551,oawfyb,1200,100,True
mckp,974391.0,0.0,aiwfll_600_20,feasible,72.635040566,aiwfll,600,20,True
compact,1000162.0,0.1263534260879369,utzbal_800_20,feasible,3600.0007090568542,utzbal,800,20,False
mckp,501810.0,0.0,svietx_1000_20,feasible,44.01215902,svietx,1000,20,True
mckp,1001766.0,0.0,ziizbq_600_100,feasible,240.017285589,ziizbq,600,100,True
compact,990678.0,0.0,onwvvy_1200_20,feasible,1.177433967590332,onwvvy,1200,20,True
mckp,1005020.0,0.0,pnshaz_1000_100,feasible,236.48322173000005,pnshaz,1000,100,True
mckp,975998.0,0.0,ycvoap_400_20,feasible,72.400216397,ycvoap,400,20,True
mckp,1004627.0,0.0,kjsttv_600_20,feasible,103.414337122,kjsttv,600,20,True
