algorithm,primal_lb,instance,status,time_elapsed,num_items,num_classes,repetition,pisinger_R,knapsack_generator,optimal
compact,3215883.0,strongly_correlated_10000-rnduniform-rnduniform-1000-20-5,feasible,3600.0009920597076,1000,20,5,10000,strongly_correlated,False
compact,2412518.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-1000-100-2,feasible,0.4048290252685547,1000,100,2,10000,inverse_strongly_correlated,False
compact,2268165.0,profit_ceiling_10000-rnduniform-rnduniform-1000-100-0,feasible,3600.0008850097656,1000,100,0,10000,profit_ceiling,False
mckp,198242.0,uncorrelated_1000-rnduniform-rnduniform-500-20-3,feasible,6.328722546000001,500,20,3,1000,uncorrelated,True
compact,3564547.0,span_uncorrelated_10000-rnduniform-rnduniform-1000-100-7,feasible,3600.0007770061493,1000,100,7,10000,span_uncorrelated,False
mckp,1247631.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-500-20-2,feasible,55.301858892,500,20,2,10000,inverse_strongly_correlated,True
compact,3447492.0,span_weakly_correlated_10000-rnduniform-rnduniform-1000-20-3,feasible,3600.0008969306946,1000,20,3,10000,span_weakly_correlated,False
mckp,134538.0,weakly_correlated_1000-rnduniform-rnduniform-500-20-6,feasible,9.769589027,500,20,6,1000,weakly_correlated,True
mckp,232393.0,subset_sum_10000-rnduniform-rnduniform-100-20-5,feasible,2.9016029480000003,100,20,5,10000,subset_sum,True
compact,151908.0,span_strongly_correlated_1000-rnduniform-rnduniform-500-20-3,feasible,2.126802921295166,500,20,3,1000,span_strongly_correlated,True
compact,599221.0,strongly_correlated_1000-rnduniform-rnduniform-2000-100-2,feasible,3600.0018730163574,2000,100,2,1000,strongly_correlated,False
mckp,888560.0,circle_1000-rnduniform-rnduniform-2000-100-0,feasible,14.174722577,2000,100,0,1000,circle,True
compact,305073.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-100-20-8,feasible,0.0649170875549316,100,20,8,10000,inverse_strongly_correlated,True
mckp,694212.0,span_strongly_correlated_10000-rnduniform-rnduniform-200-20-8,feasible,5.187219160000001,200,20,8,10000,span_strongly_correlated,True
compact,3319662.0,span_strongly_correlated_10000-rnduniform-rnduniform-1000-500-1,feasible,0.0892920494079589,1000,500,1,10000,span_strongly_correlated,True
compact,959320.0,circle_1000-rnduniform-rnduniform-2000-20-3,feasible,3600.0011830329895,2000,20,3,1000,circle,False
mckp,470975.0,circle_1000-rnduniform-rnduniform-1000-100-4,feasible,1.612712347,1000,100,4,1000,circle,True
mckp,1538439.0,strongly_correlated_10000-rnduniform-rnduniform-500-20-4,feasible,38.517280401,500,20,4,10000,strongly_correlated,True
compact,1343337.0,profit_ceiling_10000-rnduniform-rnduniform-500-20-8,feasible,0.0269210338592529,500,20,8,10000,profit_ceiling,True
mckp,571065.0,span_uncorrelated_1000-rnduniform-rnduniform-1000-100-2,feasible,1.681039875,1000,100,2,1000,span_uncorrelated,True
compact,529141.0,span_strongly_correlated_10000-rnduniform-rnduniform-100-20-8,feasible,0.2425999641418457,100,20,8,10000,span_strongly_correlated,True
mckp,528236.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-200-20-6,feasible,4.5277373480000005,200,20,6,10000,inverse_strongly_correlated,True
compact,5835654.0,weakly_correlated_10000-rnduniform-rnduniform-2000-100-9,feasible,0.1966080665588379,2000,100,9,10000,weakly_correlated,False
compact,402982.0,uncorrelated_1000-rnduniform-rnduniform-1000-20-3,feasible,0.0710029602050781,1000,20,3,1000,uncorrelated,True
compact,451817.0,subset_sum_10000-rnduniform-rnduniform-200-100-3,feasible,0.0848839282989502,200,100,3,10000,subset_sum,True
compact,143783.0,weakly_correlated_1000-rnduniform-rnduniform-500-20-9,feasible,0.0434188842773437,500,20,9,1000,weakly_correlated,True
compact,140669.0,subset_sum_1000-rnduniform-rnduniform-500-20-8,feasible,0.0083200931549072,500,20,8,1000,subset_sum,True
mckp,821305.0,mstr_1000-rnduniform-rnduniform-2000-100-6,feasible,12.238412677,2000,100,6,1000,mstr,True
compact,5340493.0,subset_sum_10000-rnduniform-rnduniform-2000-20-9,feasible,0.0141351222991943,2000,20,9,10000,subset_sum,False
mckp,681774.0,span_weakly_correlated_10000-rnduniform-rnduniform-200-20-3,feasible,5.45373737,200,20,3,10000,span_weakly_correlated,True
compact,7376147.0,uncorrelated_10000-rnduniform-rnduniform-2000-100-0,feasible,0.1010749340057373,2000,100,0,10000,uncorrelated,False
compact,1607645.0,span_uncorrelated_10000-rnduniform-rnduniform-500-100-8,feasible,3600.0007331371307,500,100,8,10000,span_uncorrelated,False
compact,633145.0,almost_strongly_correlated_1000-rnduniform-rnduniform-2000-100-5,feasible,106.463632106781,2000,100,5,1000,almost_strongly_correlated,False
compact,2325267.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-1000-20-0,feasible,3600.000818014145,1000,20,0,10000,inverse_strongly_correlated,False
compact,2557765.0,circle_10000-rnduniform-rnduniform-500-20-8,feasible,0.2626731395721435,500,20,8,10000,circle,False
compact,175237.0,uncorrelated_similar-rnduniform-rnduniform-500-20-3,feasible,0.0161728858947753,500,20,3,100000,uncorrelated_similar,True
compact,153825.0,span_strongly_correlated_1000-rnduniform-rnduniform-500-20-7,feasible,3600.00053191185,500,20,7,1000,span_strongly_correlated,False
mckp,130639.0,inverse_strongly_correlated_1000-rnduniform-rnduniform-500-20-4,feasible,4.616000596999999,500,20,4,1000,inverse_strongly_correlated,True
mckp,2382250.0,weakly_correlated_10000-rnduniform-rnduniform-1000-100-0,feasible,43.049169852,1000,100,0,10000,weakly_correlated,True
mckp,614972.0,almost_strongly_correlated_10000-rnduniform-rnduniform-200-20-6,feasible,8.018892205,200,20,6,10000,almost_strongly_correlated,True
compact,129929.0,weakly_correlated_10000-rnduniform-rnduniform-50-20-3,feasible,0.0059869289398193,50,20,3,10000,weakly_correlated,True
